"pathway","pval","padj","NES","size"
"HALLMARK_GLYCOLYSIS",4.1626664533444e-06,0.00020813332266722,-1.76704237400027,183
"HALLMARK_HYPOXIA",9.45883829991557e-05,0.00236470957497889,-1.67640486711687,177
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000622020335551063,0.0103670055925177,1.83321865380374,80
"HALLMARK_MTORC1_SIGNALING",0.001003852739522,0.012548159244025,-1.51306544542737,192
"HALLMARK_UV_RESPONSE_DN",0.00273358001651788,0.0273358001651788,-1.53708555553416,131
"HALLMARK_P53_PATHWAY",0.00538412406174632,0.0448677005145526,1.46052424326348,180
"HALLMARK_PANCREAS_BETA_CELLS",0.0126718870045983,0.0905134786042737,-1.64193095799396,23
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0168981092950201,0.105613183093875,1.45061920750988,155
"HALLMARK_ANDROGEN_RESPONSE",0.0227954241373297,0.108393901793214,-1.41850273381659,91
"HALLMARK_COAGULATION",0.023846658394507,0.108393901793214,1.50689207907552,97
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0231992223163873,0.108393901793214,-1.32856444812768,171
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0377643504531722,0.157351460221551,1.38427344570247,97
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0429888259064392,0.165341638101689,1.38254905196899,107
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0704453067496869,0.251590381248882,-1.25497697517018,151
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0926430517711172,0.269084285477728,-1.28237563504987,69
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0953947368421053,0.269084285477728,-1.20377908905168,158
"HALLMARK_MYC_TARGETS_V2",0.0941558441558442,0.269084285477728,1.31791982875835,57
"HALLMARK_XENOBIOTIC_METABOLISM",0.0968703427719821,0.269084285477728,1.22785640631574,146
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.150159744408946,0.375399361022364,1.22776033310395,64
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.147887323943662,0.375399361022364,-1.13631291062296,185
"HALLMARK_APOPTOSIS",0.223703703703704,0.532627865961199,1.14352565348003,135
"HALLMARK_ADIPOGENESIS",0.245551601423488,0.558071821417017,-1.07601585836569,186
"HALLMARK_APICAL_SURFACE",0.289044289044289,0.62835715009628,-1.12301385729861,34
"HALLMARK_KRAS_SIGNALING_DN",0.317919075144509,0.636500754147813,-1.06973892595469,108
"HALLMARK_PEROXISOME",0.318250377073906,0.636500754147813,1.0806033814743,93
"HALLMARK_TGF_BETA_SIGNALING",0.342668863261944,0.658978583196046,1.05861999997926,52
"HALLMARK_BILE_ACID_METABOLISM",0.436619718309859,0.682218309859155,-1.0047686107609,79
"HALLMARK_COMPLEMENT",0.431286549707602,0.682218309859155,1.00388047726626,151
"HALLMARK_DNA_REPAIR",0.383358098068351,0.682218309859155,1.03156740907578,147
"HALLMARK_MYC_TARGETS_V1",0.423076923076923,0.682218309859155,-1.00549747951351,194
"HALLMARK_MYOGENESIS",0.410294117647059,0.682218309859155,1.01552082104945,150
"HALLMARK_UV_RESPONSE_UP",0.382262996941896,0.682218309859155,-1.02831929585221,143
"HALLMARK_NOTCH_SIGNALING",0.530201342281879,0.803335367093756,-0.96339859700951,29
"HALLMARK_FATTY_ACID_METABOLISM",0.554234769687964,0.815051131894065,0.954442851728814,134
"HALLMARK_APICAL_JUNCTION",0.673400673400673,0.936285936285936,-0.926767260514462,159
"HALLMARK_HEDGEHOG_SIGNALING",0.722863741339492,0.936285936285936,-0.853791854461232,33
"HALLMARK_INFLAMMATORY_RESPONSE",0.73030303030303,0.936285936285936,-0.89821451343568,132
"HALLMARK_PROTEIN_SECRETION",0.717948717948718,0.936285936285936,0.870706529847429,93
"HALLMARK_SPERMATOGENESIS",0.692780337941628,0.936285936285936,0.88144672460683,89
"HALLMARK_KRAS_SIGNALING_UP",0.75887573964497,0.948594674556213,0.87591956348786,149
"HALLMARK_IL2_STAT5_SIGNALING",0.790378006872852,0.949115483999205,-0.884179093656422,166
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.816239316239316,0.949115483999205,0.847226429510123,168
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.804705882352941,0.949115483999205,-0.803370258359648,38
"HALLMARK_ALLOGRAFT_REJECTION",0.889221556886228,0.966545170528508,-0.821218130769267,123
"HALLMARK_HEME_METABOLISM",0.871830985915493,0.966545170528508,0.829209501621101,187
"HALLMARK_MITOTIC_SPINDLE",0.887798036465638,0.966545170528508,0.82506891653006,193
"HALLMARK_ANGIOGENESIS",0.943840579710145,0.983167270531401,0.638129622898376,27
"HALLMARK_G2M_CHECKPOINT",0.941176470588235,0.983167270531401,-0.806684409700674,193
"HALLMARK_E2F_TARGETS",0.986486486486487,0.992574257425743,-0.76081393627848,198
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.992574257425743,0.992574257425743,-0.541840370491128,47
