"logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
-0.534258149872608,-0.676613386557111,-0.391902913188106,1.19533036697051,-7.88617310372861,3.05607140382921e-07,0.00023816983140509,6.94424275954135,"NPTX2","Down"
-0.534416966910937,-0.678133765011543,-0.390700168810332,0.345308659847204,-7.8137822176187,3.48049294144645e-07,0.000244121774913054,6.82304980872707,"SYNDIG1","Down"
-0.921745634284361,-1.19252201581603,-0.65096925275269,0.435437051149218,-7.15565408653674,1.20771877240537e-06,0.000555600421518522,5.6584113362522,"HES5","Down"
-0.438709984543874,-0.576899344930383,-0.300520624157364,0.387051342520843,-6.67100873778816,2.97599544648582e-06,0.00109861221377113,4.80371852976431,"ISM2","Down"
-0.717581843595287,-0.945025687520315,-0.490137999670258,1.18617881252715,-6.6320269764343,3.2968288496048e-06,0.00112799792932332,4.70876656869505,"LENG9","Down"
-0.721457701132841,-0.951502418354226,-0.491412983911456,1.13242789223421,-6.59246204609552,3.56210738865087e-06,0.00115953203275566,4.63531460375364,"STUM","Down"
-0.553478640160495,-0.73151510895812,-0.37544217136287,1.40054071313433,-6.53251613425861,3.90658420136982e-06,0.00115953203275566,4.54544539320471,"KLRG2","Down"
-0.570561856472049,-0.75413242129359,-0.386991291650509,0.865451783586406,-6.53112939377002,3.9172931898727e-06,0.00115953203275566,4.54284467497904,"GPR50","Down"
-0.505827659093775,-0.672783260751041,-0.338872057436509,0.500755151248167,-6.36634508820899,5.4332520866385e-06,0.00149446392688951,4.23175956825828,"MDGA2","Down"
-0.450983344043384,-0.606080769599384,-0.295885918487384,0.411960885431447,-6.11004643966177,9.10252891701254e-06,0.00202936298173097,3.73995820719386,"OPRD1","Down"
-0.412192292198057,-0.554183256189362,-0.270201328206752,8.42049300754651,-6.10222459257571,9.45681132255156e-06,0.00207281483176177,3.70583240097482,"PGK1","Down"
-0.4214773611368,-0.567402674056742,-0.275552048216859,0.703736114822875,-6.06921072525337,9.89043391830377e-06,0.00210216677281765,3.66072221552531,"SYT17","Down"
-0.495606405388498,-0.669221287412366,-0.32199152336463,1.11702777626428,-5.99844330996601,1.14266332060746e-05,0.00228221643640899,3.52284654424783,"TMEM255A","Down"
-0.702384880924848,-0.948209130944985,-0.456560630904711,4.99112752995276,-6.00619545326494,1.14928296540984e-05,0.00228221643640899,3.51965681954534,"SLC37A4","Down"
-0.695015280261622,-0.945153122182215,-0.44487743834103,0.547527352778175,-5.84068767413994,1.61285078015334e-05,0.00279321861036927,3.19573462320739,"NPY","Down"
-0.785404943833667,-1.07107723996599,-0.499732647701341,1.03156109179663,-5.77929062121951,1.83051498726648e-05,0.00305696002873503,3.07461152028091,"NOG","Down"
-0.401974263974713,-0.54909313405323,-0.254855393896196,0.670716258392825,-5.74140873335301,1.94092031083775e-05,0.00313664553714722,3.01620991259725,"TMEM132E","Down"
-0.509393000522774,-0.698520632992309,-0.32026536805324,0.408211197943895,-5.66170212169245,2.33583456361648e-05,0.00364226133623375,2.84122032005421,"NOVA2","Down"
-0.388474528653545,-0.534011454701774,-0.242937602605317,1.16487644408994,-5.60890324375047,2.55873624644922e-05,0.00390151652882496,2.75155845629526,"NCAM1","Down"
-0.707469969075672,-0.977092988403899,-0.437846949747445,6.64008997292629,-5.51569281206948,3.16901019626412e-05,0.00459388843060173,2.54890422004431,"HNRNPH3","Down"
-0.479111515271795,-0.661962185583933,-0.296260844959656,2.04309345787829,-5.50590419165609,3.17655530202714e-05,0.00459388843060173,2.54427666826133,"NEFL","Down"
-0.659638806609844,-0.913172939487936,-0.406104673731752,4.77502533134406,-5.46913684881744,3.49461626417044e-05,0.00485371058948346,2.45512925951555,"C2orf88","Down"
-0.424512314196509,-0.589347488828141,-0.259677139564877,0.911522395295257,-5.4116412410428,3.87612198928901e-05,0.00527905235589769,2.35341866526548,"GPR39","Down"
-0.803889013469258,-1.11755069833285,-0.490227328605669,2.57181753264017,-5.3874549476026,4.15134938273569e-05,0.00549388010764304,2.28995843671506,"NUDT18","Down"
-0.535331115850273,-0.747937256918171,-0.322724974782375,0.529190338680899,-5.29292465087927,5.0717532486033e-05,0.00645273023622776,2.09781136132701,"HPCA","Down"
-0.439685788880514,-0.615001121738466,-0.264370456022562,1.03280714985852,-5.27000619817313,5.23733507649203e-05,0.00649101692962534,2.0646501007121,"HOXA13","Down"
-0.411904480342607,-0.577891844225327,-0.245917116459888,5.12271444511542,-5.21639556702671,5.96874516767512e-05,0.00709572518747005,1.9414996166653,"FECH","Down"
-0.340932900017239,-0.478728145317732,-0.203137654716745,6.3696009709556,-5.20029395735543,6.14282341543139e-05,0.00716283435101475,1.91309563367594,"DARS","Down"
-0.38589710073418,-0.543235384523305,-0.228558816945055,0.781363743162568,-5.15377796861699,6.71572681831985e-05,0.00765920453718625,1.82598099650037,"C8orf34","Down"
-0.387481384681046,-0.546257764069095,-0.228705005292998,0.924540130263991,-5.12806529362359,7.09685453258929e-05,0.00790116471294941,1.77298364936709,"LHX2","Down"
-0.436025538906923,-0.615673074410647,-0.2563780034032,7.95673675958532,-5.10199105548214,7.62294260105721e-05,0.0081107437537372,1.70662331552639,"FSCN1","Down"
-0.633282857123674,-0.89477159379551,-0.371794120451837,2.85658014700706,-5.09089071344106,7.80661128667326e-05,0.00823392053604906,1.68375989573486,"KCTD11","Down"
-0.460227667219789,-0.650758455233666,-0.269696879205912,2.16345035324102,-5.07570247944771,7.94287379091197e-05,0.00825352841028986,1.66484321321423,"NEFM","Down"
-0.487838251907853,-0.690399992077435,-0.285276511738271,0.825279116817901,-5.06252826038055,8.29673067463834e-05,0.00837313222329688,1.62528389260143,"QRFPR","Down"
