"logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
-1.00150033976964,-1.2118266531031,-0.791174026436174,2.66972022601551,-10.0056680175978,9.07301698024416e-09,4.73660641311688e-06,10.3940194688786,"ACTL8","Down"
-0.612126173464059,-0.740896302243045,-0.483356044685073,7.42539341843188,-9.98909379995145,9.34071945636166e-09,4.73660641311688e-06,10.366483857308,"HBG1","Down"
-0.58764456790782,-0.744418527183678,-0.430870608631961,6.30305100673663,-7.87933977388704,3.20390890666816e-07,6.42063344896298e-05,6.95993549094715,"TAF15","Down"
-0.774084220416363,-0.982217901237034,-0.565950539595691,4.49685026112838,-7.81798582838999,3.57570159992553e-07,6.77837054645342e-05,6.85286433095533,"HEMGN","Down"
-0.534307269759726,-0.684111882971035,-0.384502656548416,8.13878992995296,-7.49747324575705,6.39692428440925e-07,0.000106828635549634,6.28466751021803,"HBG2","Down"
-0.45976618492096,-0.589297705461689,-0.330234664380232,6.67716755743424,-7.45867758710845,6.66919960456639e-07,0.000110065331826891,6.24105894991675,"UAP1","Down"
-0.519428569289341,-0.66633703149629,-0.372520107082393,5.43579417806171,-7.43103728277164,7.11743805056542e-07,0.000113458432924241,6.17874590700455,"FAH","Down"
-0.632562175911991,-0.812200698150618,-0.452923653673363,6.5588448531703,-7.40206296398228,7.62640531167388e-07,0.000120205858103552,6.11264294483515,"HBA1","Down"
-0.544524397915568,-0.703591978540281,-0.385456817290855,4.23533673162892,-7.19323527719694,1.09199642154475e-06,0.000163798037301193,5.75790096894603,"ATPAF2","Down"
-0.561013773682164,-0.726541787449638,-0.395485759914689,3.8110557678864,-7.12181384725441,1.2497416466162e-06,0.000178746590183908,5.62559181292438,"PKP3","Down"
-2.1939666608973,-2.86779685263035,-1.52013646916426,3.81967175223803,-6.84429289938185,2.18448832627062e-06,0.000276072092260579,5.08044302795619,"CXCL8","Down"
-0.742296762850453,-0.974365037068032,-0.510228488632873,7.99999407162893,-6.72373863255901,2.75766296872893e-06,0.000332749176100293,4.85141185637342,"MYC","Down"
-0.542906033041023,-0.716167820252189,-0.369644245829856,4.69117584030335,-6.58674585749085,3.60222260125325e-06,0.000417619658267609,4.58861526531633,"B4GALNT4","Down"
-0.932470040431051,-1.23081266605112,-0.634127414810986,3.04067276894917,-6.57004900216702,3.72209816887105e-06,0.000424500757015635,4.55640191682566,"FAM178B","Down"
-0.37450094393764,-0.496578334377776,-0.252423553497504,6.18960270536211,-6.44623712780192,4.63426268972567e-06,0.000478010566260821,4.33757086444209,"PCCB","Down"
-0.508010532438296,-0.674709538403421,-0.341311526473171,6.72097126172152,-6.40602656711988,5.14423334044107e-06,0.000522922502171792,4.23785142445689,"OAT","Down"
-0.724575498881418,-0.963090304825601,-0.486060692937235,3.61474740375706,-6.38582966899192,5.35468446141631e-06,0.000536539383033914,4.19836457762284,"ARHGAP22","Down"
-0.697226774328896,-0.927635957441128,-0.466817591216664,4.44938775514582,-6.36096932220284,5.62600900391447e-06,0.000549945971757352,4.14968186814078,"SLC38A5","Down"
-0.486656163400811,-0.648578760346536,-0.324733566455086,5.26063080958137,-6.3177697861546,6.1318007614039e-06,0.0005851489869454,4.06488141842493,"UROS","Down"
-0.922878251171818,-1.23090990999344,-0.614846592350198,2.10754479643552,-6.29793372088936,6.37957425128318e-06,0.000599470223831342,4.02585641200241,"TRNP1","Down"
-0.495917240862143,-0.662030939428626,-0.32980354229566,9.38804522772613,-6.27556436297632,6.67144331247134e-06,0.000615703992022026,3.98178205816496,"HIST1H2BK","Down"
-0.346078852203383,-0.462509649596679,-0.229648054810087,7.51305607980012,-6.24591094263096,6.9166226828373e-06,0.000631002051400563,3.94316798962703,"AHCY","Down"
-1.63174426042693,-2.18300921416136,-1.0804793066925,1.09027785077508,-6.22215376535189,7.42548093144443e-06,0.000666830551324427,3.87626785668887,"TNFRSF9","Down"
-0.454243271961207,-0.607819813607269,-0.300666730315146,5.91986471880434,-6.217454975404,7.49589874179701e-06,0.000666830551324427,3.86696648491448,"SH3GLB2","Down"
-0.566473199597405,-0.758747853950959,-0.374198545243852,5.46760677429136,-6.19307525774104,7.87249602524735e-06,0.000686153677790252,3.81865766301175,"PPP1R14A","Down"
-0.606166420892803,-0.811979851721485,-0.400352990064122,7.61177443977808,-6.19109105512685,7.90399377102525e-06,0.000686153677790252,3.81472235379594,"NMU","Down"
-0.42403261460561,-0.568967023973109,-0.27909820523811,6.89086644956467,-6.15002364937894,8.58596482146101e-06,0.000723061207571769,3.73315199073235,"HMBS","Down"
-0.639464395487962,-0.858244920427043,-0.420683870548881,5.27323396993471,-6.14407824194896,8.68961585875396e-06,0.000723061207571769,3.72132388091808,"HBQ1","Down"
-0.450313562480663,-0.604483555691366,-0.29614356926996,5.96019342375884,-6.13994107127962,8.76250394120335e-06,0.000723061207571769,3.71309034363825,"HMGB3","Down"
-0.557642907274568,-0.748749531663156,-0.366536282885979,4.51589789967575,-6.13379801173866,8.87189777108218e-06,0.000727806911887373,3.70086053157317,"FGFR3","Down"
-0.464636653340749,-0.625614140808097,-0.303659165873401,5.57460417602936,-6.06732628791182,1.01498339170462e-05,0.000795429442392868,3.56820050792949,"CENPA","Down"
-0.433238912921866,-0.583722788107855,-0.282755037735878,6.2797227910134,-6.05182721571092,1.04742260924834e-05,0.000811781456493685,3.53718309490317,"ARL4A","Down"
-1.06245039922385,-1.43694404359733,-0.68795675485038,1.12749586426877,-5.96366502638011,1.25342501510045e-05,0.000930319900096782,3.36014120293469,"CCL26","Down"
-0.375095559175674,-0.508216638598283,-0.241974479753064,5.40465852055423,-5.92084496823444,1.33966716828651e-05,0.000989097422985429,3.29153118820133,"MECR","Down"
-0.559568930403627,-0.759130376167841,-0.360007484639412,8.28162703020057,-5.89421509215581,1.4448789771322e-05,0.00103477315709939,3.21995596293713,"HBE1","Down"
-0.720855755986104,-0.978403183203928,-0.46330832876828,2.40964771146163,-5.88355996142883,1.47681617522837e-05,0.00104505481180073,3.19839298147563,"ATP1B2","Down"
-0.755361274621361,-1.02873114623736,-0.481991403005358,1.49270909680324,-5.80835425248341,1.72393933044557e-05,0.00117967906963368,3.04578260551801,"TMEM238","Down"
-0.80025798561355,-1.09205108664202,-0.508464884585076,0.871150086528339,-5.76506258282969,1.88513937670077e-05,0.00128372500856109,2.95760691990738,"TBX10","Down"
-0.47598737248798,-0.650152954877221,-0.301821790098738,4.82570579678491,-5.74489537974807,1.96545506654868e-05,0.00130693070026081,2.9164501988281,"AK4","Down"
