"","HEK293","K562","KMS34"
"ETV1",-0.541401919460122,0.505903814959382,-1.87780280887914
"ETV4",-0.646681914570816,1.46985421253107,-0.0971303764786106
"ETV6",-0.0763704122233725,1.39592982812254,-0.596988081053187
"FLI1",-1.42521428444837,1.48943174430435,-0.972660432151216
"FOS",-0.551781216990311,1.81062024876751,1.17312696215581
"FOSL1",-0.0179792216137293,0.424118231766572,-1.32830011272127
"FOSL2",-0.354389344097186,1.41337477446569,0.762747490986196
"FOXA1",-2.03358141498525,1.33400245225469,0.198589461295171
"FOXA2",-0.335408736343878,0.0507296612689449,0.491677704106239
"FOXJ2",0.837684139349048,0.133746202653981,0.390828918766388
"FOXK1",0.430784614051951,-0.549853900189504,0.273330273576726
"FOXK2",0.289327432397767,-1.21326073880892,-2.19069043628797
"FOXL2",-0.434364334432986,-2.45802900858041,0.921844424003969
"FOXM1",-1.411416777402,-1.25572892232649,-1.19066765258884
"FOXO1",-0.971313347535624,1.16117909955711,-1.12262554395209
"FOXO3",-0.208461026522277,-1.4487368630368,-2.02138759335404
"FOXO4",0.061945824878573,-0.682016101135713,-1.01011975734657
"FOXP1",-1.01054855151878,1.06254097419124,-0.384562718317551
"FOXP2",0.677504874231593,0.0654465612958162,-0.368421042234868
"GABPA",0.144250328422645,1.94495050807803,-0.164310636373774
"GATA1",-0.382653977659451,1.77829803524983,-3.09058672331908
"GATA2",-1.83563748449038,2.07824705990601,-0.391948906122819
"GATA3",-1.77262830861731,0.961547207881987,0.570619340383246
"GATA4",-0.0719172511029953,-2.12730755202744,-1.10343943175237
"GATA6",0.0567257328373235,0.632835170745024,0.334664774290816
"GFI1B",-0.419816774569585,-1.18012229183056,0.727107469965368
"GLI1",-0.0889637513733799,1.31910467532105,-1.18596623835895
"GLI2",-1.37632351026052,0.154748658035871,-0.348932880403915
"GRHL2",1.1942932646607,1.7475731069215,1.70265519445954
"HBP1",-0.48720507195948,0.146052928618974,-0.578404164026556
"HES1",-0.379808393893846,0.735696426403638,0.914449279868798
"HHEX",-0.266272682884823,0.472045473118023,-0.201140244445004
"HIC1",0.482888679520432,0.170276767932499,-0.0801259012997266
"HIF1A",-3.89037771597257,-1.44374940056482,-0.995956586818556
"HINFP",-1.01974143693601,-0.572718811400555,-0.878713028230424
"HMBOX1",-0.381625364661962,-0.257857450270078,-0.0576784955045651
"HNF1A",-1.62059849585454,0.487520582162961,0.939383855998867
"HNF1B",-0.492396195008525,1.42579695847669,1.45285236245727
"HNF4A",-0.806428054738747,1.50410925127464,-1.42647655407257
"HNF4G",-0.0994289215846134,1.21117878947034,0.879282377912986
"HOXA9",0.85772081496154,3.14419539722848,2.37612333395974
"HOXB13",-0.442627463085322,0.653906679528484,0.579838166394914
"HOXB7",-0.0233447756287072,0.724877478337531,-0.235159870396462
"HSF1",0.761261302228849,-0.876914191780286,0.308974261832651
"IKZF1",-0.404055964847062,1.44339404030883,-0.745371045781147
"IRF1",-0.202171989175732,0.754777575078199,-0.744239337827147
"IRF2",0.65614972927107,0.749759871546552,0.953854206767531
"IRF3",1.84345356162848,-1.64781392157754,-1.60354324931074
"IRF4",-0.677504204938086,0.742481230636043,0.571914698780012
"IRF8",0.383803848035784,1.3758910210531,1.97033306904933
"IRF9",0.904945880720961,2.24067038723968,-1.24421365763233
"JUN",-0.696575710155369,0.383238316239181,1.07183758571576
"JUNB",-0.129613462154451,-0.553732654249453,-0.84260846224401
"JUND",-0.703205062646481,-0.369149306163195,-0.810494483413311
"KDM5B",0.758191829518902,0.444866496029984,-0.350174272356428
"KLF1",0.439845587361783,-1.65042676870306,-3.00246896786679
"KLF13",0.246614349383456,-1.57917203455232,-1.8748796623007
"KLF3",-1.80730896967699,1.3162567569209,0.750209961428261
"KLF4",-0.394894003451344,0.7316321697114,0.706549007344076
"KLF5",0.225310729187713,1.04253389157354,1.43136299925323
"KLF6",0.45376871090351,1.28910482277888,0.39249618514792
"KLF9",0.378769547779903,1.46331989911758,-0.843835215507954
"KMT2A",0.0416476635376146,0.689108499637922,-0.352578177918617
"KMT2B",1.72510031956214,-0.608172790720434,-0.035024259757141
"LEF1",-0.761621299580536,-0.961516285767658,-0.258906700872495
