"logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
2.90344405685354,2.68135726610844,3.12553084759863,5.17423278428086,27.4814575676212,4.57229571483727e-16,6.41401642877372e-12,24.633278127707,"ECI2","Up"
2.26591290276333,2.03875180886937,2.49307399665729,1.15554016750184,20.968061905335,4.98986906436136e-14,3.49989416174305e-10,21.2000287602655,"BHMG1","Up"
1.7985455265674,1.58459838531604,2.01249266781876,2.72853826621207,17.6662790826897,8.6934354320021e-13,4.06505040800418e-09,18.8705905717967,"TDRD7","Up"
2.1751617005596,1.89206985538695,2.45825354573225,5.19112342792766,16.1515132379313,4.22144127729873e-12,1.48045945594866e-08,17.5058986017971,"PACSIN2","Up"
1.65610779193427,1.43441358485218,1.87780199901636,2.06329998557973,15.7001815943083,6.5152825590357e-12,1.82792767476306e-08,17.1280977068386,"SERPINC1","Up"
1.00982412533517,0.864274718139,1.15537353253134,6.40849149463113,14.5842577197871,2.31315282933331e-11,5.40815131498128e-08,15.9988126760027,"HADHB","Up"
1.03662244602316,0.884494698199166,1.18875019384716,5.31884589570061,14.3226618921193,3.06506861896476e-11,6.14239751240539e-08,15.7459534133897,"CXorf56","Up"
0.978981128476135,0.828419166100735,1.12954309085153,5.55986310153585,13.6680979559708,6.73234701469605e-11,1.18051704902695e-07,15.0310128705187,"PLOD1","Up"
0.818976344354018,0.690329648735591,0.947623039972446,5.83004963869479,13.3770798574421,8.91993796745033e-11,1.39032099785993e-07,14.7748558402117,"METTL17","Up"
1.11391378708162,0.930559145311695,1.29726842885154,5.54255283142174,12.7705234659447,2.03518837031392e-10,2.85496224587637e-07,14.0134257136095,"BYSL","Up"
0.798804874833043,0.664947314430828,0.932662435235258,6.02071403179761,12.5398851754688,2.5660087452927e-10,3.27236097081509e-07,13.7984946426666,"TBCE","Up"
1.19191938308753,0.990921075462737,1.39291769071232,1.83575745232598,12.4607183351288,2.8348288969026e-10,3.31391498047914e-07,13.7057781218322,"IL18RAP","Up"
0.655931686110355,0.54453559255858,0.76732777966213,6.57655795488186,12.3730636565619,3.17772214974529e-10,3.39743875794512e-07,13.5993806325246,"CLPTM1L","Up"
1.11598704049426,0.926388378671194,1.30558570231733,7.71652197225919,12.3729401630322,3.390657443059e-10,3.39743875794512e-07,13.5390428458752,"FLNA","Up"
0.954652019935417,0.788964486489041,1.12033955338179,4.8098738269058,12.111327067095,4.75504740302405e-10,4.16898781060133e-07,13.2231291199844,"IQCB1","Up"
1.03354991300726,0.850739660631723,1.21636016538279,1.51077964576638,11.8800838021419,6.11434203871558e-10,5.0454111834766e-07,12.9868500093239,"KRT15","Up"
1.08329300932463,0.889620469342722,1.27696554930653,6.68569009165358,11.7578230879163,7.66930193099833e-10,5.73604668166692e-07,12.7746138291233,"APLP2","Up"
